order_id,customer_id,restaurant_id,city,zone,cuisine_type,order_datetime,delivery_partner_id,delivery_time_minutes,promised_delivery_time_minutes,delivery_delay_flag,order_value,delivery_fee,discount_amount,packaging_charge,platform_commission,refund_amount,rating,payment_method,customer_tenure_group,repeat_customer_flag,acquisition_channel,order_status,distance_km,weather_condition,weekend_flag,festival_flag,gross_profit,profit_margin_pct,delay_minutes,discount_band,order_month
ORD-001830,CUST-00091,REST-0180,Hyderabad,Hitech City,Desserts,2025-07-02 11:03:00,DP-0254,58,35,1,317.3,53.85,31.73,21.61,68.39,0.0,3.6,Cash,New,0,Referral,Delivered,6.1,Hot,0,0,112.12,35.34,23,Low,2025-07
ORD-002614,CUST-00252,REST-0034,Chennai,Anna Nagar,South Indian,2025-09-04 10:20:00,DP-0012,62,50,1,205.56,55.86,30.83,20.83,38.86,0.0,4.0,Wallet,1-3 months,0,Organic,Delivered,4.6,Rain,0,0,84.72,41.21,12,Medium,2025-09
ORD-000554,CUST-00169,REST-0123,Pune,Hinjewadi,Cafe,2025-07-02 19:23:00,DP-0034,32,45,0,193.18,28.25,19.32,17.04,45.89,0.0,4.2,Wallet,4-12 months,1,Organic,Delivered,0.9,Clear,0,0,71.86,37.2,0,Medium,2025-07
ORD-000398,CUST-00146,REST-0063,Delhi Ncr,Noida,Chinese,2025-09-06 09:39:00,DP-0186,66,40,1,346.05,61.14,51.91,12.0,63.35,0.0,4.3,Cash,New,0,Paid Search,Delivered,4.0,Heavy Rain,1,0,84.58,24.44,26,Medium,2025-09
ORD-002861,CUST-00140,REST-0102,Kolkata,Park Street,Pizza,2025-09-02 13:51:00,DP-0132,68,50,1,242.48,73.26,0.0,33.51,42.86,0.0,2.6,Cash,4-12 months,0,Referral,Delivered,9.2,Clear,0,0,149.63,61.71,18,No Discount,2025-09
ORD-000979,CUST-00768,REST-0079,Mumbai,Powai,Cafe,2025-07-31 21:21:00,DP-0196,56,35,1,322.38,65.36,0.0,10.21,67.52,0.0,4.2,Wallet,12+ months,1,Referral,Delivered,8.0,Clear,0,0,143.09,44.39,21,No Discount,2025-07
ORD-001713,CUST-00138,REST-0127,Delhi Ncr,Noida,Desserts,2025-08-22 09:42:00,DP-0107,22,40,0,258.78,29.17,12.94,26.35,41.45,0.0,5.0,Card,4-12 months,0,Referral,Delivered,1.4,Clear,0,0,84.03,32.47,0,Low,2025-08
ORD-001954,CUST-00792,REST-0023,Chennai,T Nagar,Desserts,2025-12-14 19:23:00,DP-0153,66,55,1,257.94,54.91,0.0,24.55,46.97,45.51,2.8,Upi,4-12 months,0,App Campaign,Cancelled,5.9,Clear,1,0,80.92,31.37,11,No Discount,2025-12
ORD-002497,CUST-00552,REST-0109,Chennai,Velachery,Healthy,2025-08-11 09:02:00,DP-0209,58,30,1,192.58,67.09,57.77,23.8,38.9,0.0,4.0,Upi,12+ months,0,Organic,Delivered,6.5,Clear,0,1,72.02,37.4,28,High,2025-08
ORD-002757,CUST-00029,REST-0026,Mumbai,Bandra,South Indian,2025-08-17 21:17:00,DP-0168,55,55,0,548.83,60.71,27.44,28.53,113.86,0.0,3.9,Upi,4-12 months,0,Referral,Delivered,4.0,Heavy Rain,1,0,175.66,32.01,0,Low,2025-08
ORD-003017,CUST-00560,REST-0140,Chennai,Anna Nagar,Biryani,2025-08-07 14:29:00,DP-0255,56,30,1,634.02,34.97,126.8,10.09,128.38,0.0,3.1,Wallet,New,0,Referral,Delivered,2.2,Rain,0,0,46.64,7.36,26,Medium,2025-08
ORD-002882,CUST-00558,REST-0128,Pune,Hinjewadi,Chinese,2025-08-14 17:05:00,DP-0194,66,35,1,326.05,65.46,97.81,16.55,59.24,0.0,3.7,Cash,New,1,Referral,Delivered,5.1,Heavy Rain,0,0,43.44,13.32,31,High,2025-08
ORD-002137,CUST-00818,REST-0170,Chennai,Velachery,South Indian,2025-07-07 11:17:00,DP-0305,39,35,1,426.55,37.04,42.66,26.42,100.52,0.0,4.4,Wallet,1-3 months,1,Paid Search,Delivered,2.1,Clear,0,0,121.32,28.44,4,Medium,2025-07
ORD-001992,CUST-00747,REST-0086,Chennai,T Nagar,Chinese,2025-09-22 10:11:00,DP-0141,47,40,1,404.16,54.68,60.62,29.26,73.66,0.0,3.7,Wallet,1-3 months,0,App Campaign,Delivered,5.7,Clear,0,0,96.98,24.0,7,Medium,2025-09
ORD-000308,CUST-00462,REST-0033,Kolkata,Salt Lake,North Indian,2025-07-10 11:43:00,DP-0256,81,35,1,718.64,83.78,35.93,8.44,166.53,0.0,3.3,Wallet,New,0,App Campaign,Delivered,8.9,Clear,0,0,222.82,31.01,46,Low,2025-07
ORD-000059,CUST-00230,REST-0065,Pune,Kothrud,Cafe,2025-12-12 12:41:00,DP-0247,49,30,1,356.26,48.99,0.0,34.1,80.92,0.0,3.3,Upi,12+ months,0,App Campaign,Delivered,3.6,Clear,0,0,164.01,46.04,19,No Discount,2025-12
ORD-000809,CUST-00308,REST-0068,Chennai,T Nagar,Cafe,2025-10-19 16:19:00,DP-0174,40,55,0,153.46,44.95,7.67,31.12,26.34,0.0,4.7,Upi,New,1,Referral,Delivered,4.5,Hot,1,0,94.74,61.74,0,Low,2025-10
ORD-002358,CUST-00045,REST-0030,Mumbai,Lower Parel,Cafe,2025-12-26 08:01:00,DP-0061,41,35,1,185.55,60.28,0.0,14.98,33.58,0.0,4.6,Upi,1-3 months,0,Social Media,Delivered,5.9,Clear,0,0,108.84,58.66,6,No Discount,2025-12
ORD-000686,CUST-00807,REST-0175,Hyderabad,Gachibowli,South Indian,2025-12-07 19:58:00,DP-0179,59,40,1,433.85,30.96,86.77,17.68,74.75,0.0,3.9,Upi,New,0,Paid Search,Delivered,1.8,Rain,1,0,36.62,8.44,19,Medium,2025-12
ORD-000608,CUST-00827,REST-0035,Delhi Ncr,Saket,Biryani,2025-08-15 08:48:00,DP-0251,66,50,1,406.98,64.78,20.35,12.37,91.82,130.37,2.7,Wallet,1-3 months,0,Social Media,Cancelled,5.3,Heavy Rain,0,1,18.25,4.48,16,Low,2025-08
ORD-001715,CUST-00685,REST-0098,Delhi Ncr,Saket,Chinese,2025-07-12 12:29:00,DP-0122,48,35,1,308.19,55.11,15.41,31.69,55.63,0.0,4.8,Upi,4-12 months,0,App Campaign,Delivered,5.6,Hot,1,0,127.02,41.21,13,Low,2025-07
ORD-001760,CUST-00684,REST-0097,Chennai,Omr,North Indian,2025-08-15 15:45:00,DP-0153,35,40,0,221.66,31.95,66.5,24.34,41.87,0.0,3.5,Card,4-12 months,1,Social Media,Delivered,1.6,Clear,0,1,31.66,14.28,0,High,2025-08
ORD-002559,CUST-00759,REST-0132,Bengaluru,Electronic City,Chinese,2025-09-13 11:01:00,DP-0164,59,55,1,564.2,54.86,0.0,31.51,106.78,0.0,4.0,Wallet,1-3 months,0,App Campaign,Delivered,6.9,Clear,1,0,193.15,34.23,4,No Discount,2025-09
ORD-002898,CUST-00749,REST-0150,Delhi Ncr,Noida,Chinese,2025-12-15 19:18:00,DP-0059,46,55,0,641.61,44.77,64.16,26.77,153.9,0.0,3.8,Card,4-12 months,0,Social Media,Delivered,3.6,Rain,0,0,161.28,25.14,0,Low,2025-12
ORD-000651,CUST-00547,REST-0127,Delhi Ncr,Gurugram,Desserts,2025-12-07 14:57:00,DP-0187,72,35,1,181.33,56.63,36.27,33.98,33.1,0.0,4.8,Card,New,0,Paid Search,Delivered,5.2,Clear,1,0,87.44,48.22,37,High,2025-12
ORD-000267,CUST-00722,REST-0097,Kolkata,New Town,North Indian,2025-08-09 22:07:00,DP-0100,43,35,1,484.81,66.65,48.48,26.3,115.98,0.0,3.2,Wallet,4-12 months,1,Referral,Delivered,8.1,Cloudy,1,0,160.45,33.1,8,Low,2025-08
ORD-002845,CUST-00688,REST-0032,Hyderabad,Gachibowli,Biryani,2025-07-09 19:19:00,DP-0150,51,55,0,138.1,52.83,6.91,26.91,32.14,0.0,3.4,Cash,New,0,Organic,Delivered,4.6,Clear,0,0,104.97,76.01,0,Low,2025-07
ORD-000707,CUST-00186,REST-0150,Delhi Ncr,Noida,Chinese,2025-12-22 22:21:00,DP-0138,40,30,1,640.17,56.07,0.0,22.29,135.04,0.0,3.4,Wallet,1-3 months,0,Organic,Delivered,4.7,Clear,0,0,213.4,33.33,10,No Discount,2025-12
ORD-000752,CUST-00809,REST-0099,Bengaluru,Electronic City,Pizza,2025-11-19 14:00:00,DP-0209,44,35,1,851.21,57.13,127.68,33.47,142.28,0.0,3.0,Cash,12+ months,1,App Campaign,Delivered,4.8,Rain,0,0,105.2,12.36,9,Medium,2025-11
ORD-000907,CUST-00454,REST-0022,Hyderabad,Hitech City,Pizza,2025-08-06 20:13:00,DP-0299,70,55,1,215.91,59.23,10.8,28.45,48.95,0.0,4.8,Wallet,1-3 months,0,Referral,Delivered,6.3,Clear,0,0,125.83,58.28,15,Low,2025-08
ORD-002692,CUST-00031,REST-0018,Chennai,Anna Nagar,Cafe,2025-11-04 09:56:00,DP-0233,59,50,1,458.97,79.32,68.85,18.6,83.11,0.0,4.5,Wallet,New,0,Referral,Delivered,8.7,Hot,0,0,112.18,24.44,9,Medium,2025-11
ORD-001947,CUST-00766,REST-0169,Mumbai,Andheri,Pizza,2025-07-09 08:50:00,DP-0233,58,30,1,489.6,71.15,24.48,34.66,107.57,204.57,3.7,Cash,12+ months,0,Referral,Refunded,7.5,Clear,0,0,-15.67,-3.2,28,Low,2025-07
ORD-000030,CUST-00528,REST-0072,Mumbai,Powai,Desserts,2025-10-25 16:19:00,DP-0067,144,40,1,715.65,201.25,214.69,21.36,132.99,0.0,2.9,Wallet,12+ months,1,Paid Search,Delivered,25.7,Rain,1,0,140.91,19.69,104,High,2025-10
ORD-000670,CUST-00708,REST-0009,Chennai,Anna Nagar,South Indian,2025-07-09 08:23:00,DP-0115,56,40,1,503.06,54.77,25.15,25.14,106.65,0.0,3.4,Cash,4-12 months,0,Paid Search,Delivered,4.3,Heavy Rain,0,0,161.41,32.09,16,Low,2025-07
ORD-001587,CUST-00370,REST-0165,Pune,Koregaon Park,Pizza,2025-08-19 11:29:00,DP-0088,35,45,0,747.14,46.07,112.07,18.25,157.23,0.0,4.6,Wallet,4-12 months,0,App Campaign,Delivered,3.4,Clear,0,0,109.48,14.65,0,Medium,2025-08
ORD-000295,CUST-00429,REST-0141,Chennai,Omr,Chinese,2025-11-14 17:09:00,DP-0072,65,35,1,460.85,55.7,0.0,8.46,94.32,343.16,3.5,Unknown,1-3 months,0,Social Media,Cancelled,2.9,Heavy Rain,0,0,-184.68,-40.07,30,No Discount,2025-11
ORD-000826,CUST-00612,REST-0180,Hyderabad,Banjara Hills,Desserts,2025-08-06 22:03:00,DP-0054,37,40,0,324.41,26.66,0.0,23.81,76.16,0.0,4.1,Cash,4-12 months,0,Referral,Delivered,0.7,Cloudy,0,0,126.63,39.03,0,No Discount,2025-08
ORD-002535,CUST-00660,REST-0111,Delhi Ncr,Saket,North Indian,2025-11-29 20:56:00,DP-0173,80,55,1,281.64,75.59,14.08,19.84,60.81,0.0,3.4,Cash,New,0,Organic,Delivered,7.8,Rain,1,0,142.16,50.48,25,Low,2025-11
ORD-000798,CUST-00012,REST-0099,Bengaluru,Indiranagar,Pizza,2025-10-25 17:42:00,DP-0205,65,55,1,753.51,62.21,113.03,14.69,139.89,0.0,3.0,Wallet,4-12 months,1,Paid Search,Delivered,6.0,Cloudy,1,0,103.76,13.77,10,Medium,2025-10
ORD-002382,CUST-00702,REST-0167,Kolkata,Salt Lake,Chinese,2025-10-12 11:40:00,DP-0021,49,30,1,718.02,49.94,107.7,30.58,140.2,0.0,3.7,Wallet,New,1,Organic,Delivered,5.3,Clear,1,0,113.02,15.74,19,Medium,2025-10
ORD-002022,CUST-00056,REST-0107,Kolkata,Howrah,Cafe,2025-09-13 14:55:00,DP-0089,44,40,1,437.02,72.13,0.0,26.48,97.78,0.0,4.6,Wallet,4-12 months,1,Social Media,Delivered,7.5,Clear,1,0,196.39,44.94,4,No Discount,2025-09
ORD-000155,CUST-00589,REST-0001,Pune,Viman Nagar,Pizza,2025-10-31 15:26:00,DP-0236,32,50,0,330.71,51.45,49.61,18.82,69.64,54.06,2.2,Cash,New,1,Social Media,Cancelled,4.5,Clear,0,0,36.24,10.96,0,Medium,2025-10
ORD-000361,CUST-00728,REST-0046,Pune,Kothrud,Biryani,2025-12-05 14:29:00,DP-0091,65,40,1,572.23,61.16,0.0,32.21,126.53,0.0,3.3,Wallet,12+ months,1,Social Media,Delivered,5.3,Rain,0,0,219.9,38.43,25,No Discount,2025-12
ORD-000797,CUST-00237,REST-0110,Hyderabad,Secunderabad,North Indian,2025-12-02 21:14:00,DP-0318,41,55,0,336.01,38.19,67.2,9.36,60.66,0.0,4.0,Card,4-12 months,1,Paid Search,Delivered,3.3,Cloudy,0,0,41.01,12.2,0,Medium,2025-12
ORD-001653,CUST-00124,REST-0145,Hyderabad,Secunderabad,Biryani,2025-12-04 08:57:00,DP-0021,66,30,1,903.29,58.15,45.16,34.83,196.05,0.0,3.0,Wallet,New,1,Referral,Delivered,7.1,Cloudy,0,0,243.87,27.0,36,Low,2025-12
ORD-000777,CUST-00292,REST-0166,Pune,Koregaon Park,Desserts,2025-12-05 09:16:00,DP-0020,39,45,0,578.74,49.38,173.62,31.01,124.77,0.0,4.9,Cash,New,0,Organic,Delivered,5.3,Clear,0,0,31.54,5.45,0,High,2025-12
ORD-000573,CUST-00515,REST-0033,Kolkata,Salt Lake,North Indian,2025-07-22 21:51:00,DP-0003,58,35,1,268.37,49.4,53.67,31.69,61.9,0.0,4.0,Cash,1-3 months,1,Social Media,Delivered,5.6,Rain,0,0,89.32,33.28,23,Medium,2025-07
ORD-001307,CUST-00252,REST-0042,Mumbai,Andheri,Pizza,2025-09-04 12:13:00,DP-0149,75,30,1,631.3,58.51,31.56,17.55,126.35,0.0,3.2,Cash,1-3 months,1,Organic,Delivered,8.0,Clear,0,0,170.85,27.06,45,Low,2025-09
ORD-001634,CUST-00394,REST-0178,Bengaluru,Electronic City,Biryani,2025-07-09 14:02:00,DP-0270,39,35,1,451.79,46.64,22.59,20.49,91.59,0.0,3.9,Cash,4-12 months,0,App Campaign,Delivered,3.8,Clear,0,0,136.13,30.13,4,Low,2025-07
ORD-001583,CUST-00334,REST-0159,Hyderabad,Banjara Hills,Healthy,2025-12-24 20:25:00,DP-0234,55,55,0,497.33,53.66,49.73,15.09,99.3,0.0,3.4,Upi,4-12 months,0,Social Media,Delivered,5.8,Clear,0,0,118.32,23.79,0,Low,2025-12
ORD-001852,CUST-00607,REST-0178,Bengaluru,Electronic City,Biryani,2025-11-13 16:29:00,DP-0142,70,30,1,468.01,63.37,46.8,33.28,82.69,0.0,3.3,Upi,1-3 months,1,Referral,Delivered,5.8,Rain,0,0,132.54,28.32,40,Low,2025-11
ORD-000150,CUST-00244,REST-0170,Chennai,Velachery,South Indian,2025-08-23 17:51:00,DP-0148,40,45,0,583.59,40.34,0.0,18.53,105.64,0.0,4.3,Wallet,4-12 months,1,App Campaign,Delivered,2.8,Clear,1,0,164.51,28.19,0,No Discount,2025-08
ORD-000810,CUST-00352,REST-0042,Mumbai,Bandra,Pizza,2025-08-17 19:13:00,DP-0030,65,35,1,396.62,68.34,59.49,17.81,72.3,0.0,3.7,Card,New,0,Paid Search,Delivered,6.3,Cloudy,1,0,98.96,24.95,30,Medium,2025-08
ORD-000715,CUST-00215,REST-0136,Hyderabad,Secunderabad,Biryani,2025-11-15 09:56:00,DP-0192,47,50,0,654.92,48.96,32.75,18.0,112.53,0.0,4.9,Upi,4-12 months,1,Paid Search,Delivered,2.4,Heavy Rain,1,0,146.74,22.41,0,Low,2025-11
ORD-001174,CUST-00436,REST-0145,Hyderabad,Gachibowli,Biryani,2025-11-22 22:56:00,DP-0293,51,35,1,689.38,56.55,34.47,13.95,144.4,0.0,3.1,Upi,4-12 months,0,Paid Search,Delivered,5.5,Clear,1,0,180.43,26.17,16,Low,2025-11
ORD-000589,CUST-00719,REST-0074,Bengaluru,Indiranagar,North Indian,2025-07-05 18:30:00,DP-0055,53,50,1,545.98,82.82,27.3,29.02,102.56,0.0,4.4,Card,12+ months,1,Social Media,Delivered,9.7,Hot,1,0,187.1,34.27,3,Low,2025-07
ORD-002795,CUST-00242,REST-0143,Chennai,Anna Nagar,Desserts,2025-10-09 09:03:00,DP-0004,45,30,1,653.19,49.83,0.0,28.32,107.19,0.0,3.2,Cash,4-12 months,0,App Campaign,Delivered,4.4,Clear,0,0,185.34,28.37,15,No Discount,2025-10
ORD-001931,CUST-00059,REST-0139,Pune,Koregaon Park,North Indian,2025-08-09 14:58:00,DP-0296,50,50,0,359.61,38.93,107.88,14.18,74.85,0.0,5.0,Wallet,12+ months,1,Organic,Delivered,2.6,Clear,1,0,20.08,5.58,0,High,2025-08
ORD-000664,CUST-00279,REST-0102,Kolkata,Howrah,Pizza,2025-09-09 09:47:00,DP-0243,136,35,1,273.9,182.14,27.39,21.74,50.11,0.0,3.8,Cash,New,0,Referral,Delivered,24.7,Rain,0,0,226.6,82.73,101,Medium,2025-09
ORD-002821,CUST-00337,REST-0111,Mumbai,Lower Parel,North Indian,2025-10-30 18:11:00,DP-0222,54,55,0,808.21,83.58,0.0,30.23,166.97,0.0,3.3,Wallet,1-3 months,0,Paid Search,Delivered,8.4,Clear,0,0,280.78,34.74,0,No Discount,2025-10
ORD-001201,CUST-00714,REST-0071,Delhi Ncr,Gurugram,South Indian,2025-10-30 11:46:00,DP-0298,72,55,1,261.43,69.9,39.21,9.24,57.27,0.0,3.4,Wallet,4-12 months,0,Social Media,Delivered,8.8,Clear,0,0,97.2,37.18,17,Medium,2025-10
ORD-002392,CUST-00094,REST-0061,Hyderabad,Banjara Hills,Desserts,2025-08-07 13:59:00,DP-0072,46,55,0,362.99,50.09,72.6,10.91,61.67,0.0,4.7,Card,New,1,Organic,Delivered,3.9,Clear,0,0,50.07,13.79,0,High,2025-08
ORD-001388,CUST-00399,REST-0111,Pune,Viman Nagar,North Indian,2025-08-12 22:21:00,DP-0011,58,55,1,260.52,66.9,78.16,22.41,47.66,0.0,4.4,Upi,1-3 months,0,App Campaign,Delivered,7.3,Clear,0,0,58.81,22.57,3,High,2025-08
ORD-001892,CUST-00032,REST-0165,Pune,Kothrud,Pizza,2025-09-14 11:46:00,DP-0214,74,40,1,400.03,62.31,0.0,12.67,91.64,284.0,3.7,Card,4-12 months,0,Organic,Cancelled,6.3,Clear,1,1,-117.38,-29.34,34,No Discount,2025-09
ORD-000268,CUST-00100,REST-0034,Chennai,T Nagar,South Indian,2025-09-16 15:48:00,DP-0219,58,55,1,353.93,70.07,17.7,10.75,78.87,0.0,4.5,Card,4-12 months,1,Paid Search,Delivered,6.8,Clear,0,0,141.99,40.12,3,Low,2025-09
ORD-003125,CUST-00018,REST-0003,Mumbai,Lower Parel,South Indian,2025-10-19 15:58:00,DP-0208,63,45,1,575.35,62.82,86.3,31.52,125.24,0.0,2.9,Cash,4-12 months,1,Organic,Delivered,5.7,Rain,1,0,133.28,23.17,18,Medium,2025-10
ORD-001019,CUST-00445,REST-0098,Delhi Ncr,Noida,Chinese,2025-12-14 20:15:00,DP-0255,67,45,1,565.51,64.18,28.28,9.1,120.08,0.0,4.1,Wallet,4-12 months,1,Social Media,Delivered,7.5,Hot,1,0,165.08,29.19,22,Low,2025-12
ORD-002272,CUST-00170,REST-0141,Chennai,Velachery,Chinese,2025-07-13 08:32:00,DP-0245,49,40,1,510.9,47.97,153.27,18.39,114.21,0.0,3.5,Unknown,New,0,Paid Search,Delivered,5.7,Hot,1,0,27.3,5.34,9,High,2025-07
ORD-000881,CUST-00100,REST-0057,Kolkata,Howrah,Chinese,2025-09-03 12:05:00,DP-0309,47,40,1,320.89,36.63,32.09,28.74,65.33,0.0,2.9,Wallet,4-12 months,0,Paid Search,Delivered,2.7,Clear,0,0,98.61,30.73,7,Medium,2025-09
ORD-000928,CUST-00193,REST-0021,Bengaluru,Indiranagar,South Indian,2025-07-29 10:25:00,DP-0115,22,35,0,264.05,28.56,13.2,26.03,44.59,0.0,3.9,Card,12+ months,1,Referral,Delivered,1.3,Hot,0,0,85.98,32.56,0,Low,2025-07
ORD-001556,CUST-00028,REST-0002,Mumbai,Andheri,Desserts,2025-08-27 19:58:00,DP-0027,59,30,1,415.68,59.65,0.0,29.51,75.97,0.0,4.2,Cash,1-3 months,0,Social Media,Delivered,6.7,Clear,0,0,165.13,39.73,29,No Discount,2025-08
ORD-001759,CUST-00457,REST-0134,Hyderabad,Secunderabad,North Indian,2025-10-31 16:10:00,DP-0093,52,30,1,321.67,52.48,48.25,29.11,62.23,0.0,4.1,Card,12+ months,0,Social Media,Delivered,5.0,Clear,0,0,95.57,29.71,22,Medium,2025-10
ORD-001250,CUST-00406,REST-0014,Bengaluru,Electronic City,Chinese,2025-09-12 22:21:00,DP-0087,42,40,1,340.58,55.23,68.12,30.42,63.8,0.0,3.9,Card,4-12 months,1,Paid Search,Delivered,4.5,Cloudy,0,0,81.33,23.88,2,High,2025-09
ORD-000424,CUST-00238,REST-0170,Chennai,T Nagar,South Indian,2025-11-16 20:40:00,DP-0254,58,35,1,532.23,36.91,53.22,34.94,110.85,0.0,3.1,Wallet,New,0,App Campaign,Delivered,3.1,Clear,1,0,129.48,24.33,23,Low,2025-11
